"filename", "language", "Markdown", "Python", "JSON", "C++", "C", "CMake", "Log", "Rust", "CMake Cache", "YAML", "comment", "blank", "total"
"v:\vex_os\build\CMakeFiles\4.3.1\CMakeSystem.cmake", "CMake", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 6, 16
"v:\vex_os\build\CMakeFiles\4.3.1\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, 0, 729, 0, 0, 0, 0, 0, 0, 63, 158, 950
"v:\vex_os\build\CMakeFiles\4.3.1\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 711, 0, 0, 0, 0, 0, 62, 162, 935
"v:\vex_os\build\CMakeFiles\CMakeConfigureLog.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10796, 4, 50, 10850
"v:\vex_os\build\CMakeFiles\InstallScripts.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"v:\vex_os\build\CTestTestfile.cmake", "CMake", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"v:\vex_os\build\Testing\Temporary\LastTest.log", "Log", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 3, 34
"v:\vex_os\build\Testing\Temporary\LastTestsFailed.log", "Log", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"v:\vex_os\build\boot\compositor_blob.c", "C", 0, 0, 0, 0, 1148, 0, 0, 0, 0, 0, 0, 3, 1151
"v:\vex_os\build\boot\diag_blob.c", "C", 0, 0, 0, 0, 685, 0, 0, 0, 0, 0, 0, 3, 688
"v:\vex_os\build\boot\gpu_blob.c", "C", 0, 0, 0, 0, 1341, 0, 0, 0, 0, 0, 0, 3, 1344
"v:\vex_os\build\boot\init_blob.c", "C", 0, 0, 0, 0, 2786401, 0, 0, 0, 0, 0, 0, 3, 2786404
"v:\vex_os\build\boot\kernel_blob.c", "C", 0, 0, 0, 0, 4098, 0, 0, 0, 0, 0, 0, 3, 4101
"v:\vex_os\build\boot\services_blob.c", "C", 0, 0, 0, 0, 831, 0, 0, 0, 0, 0, 0, 3, 834
"v:\vex_os\build\boot\terminal_blob.c", "C", 0, 0, 0, 0, 326, 0, 0, 0, 0, 0, 0, 3, 329
"v:\vex_os\build\boot\tests_blob.c", "C", 0, 0, 0, 0, 521, 0, 0, 0, 0, 0, 0, 3, 524
"v:\vex_os\build\cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 8, 62
"v:\vex_os\build\gpu-boot-serial-reset.log", "Log", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"v:\vex_os\build\gpu-boot-serial.log", "Log", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"v:\vex_os\build\out\desktop-check.log", "Log", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 7, 69
"v:\vex_os\build\out\desktop-check2.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"v:\vex_os\build\out\desktop-check3.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"v:\vex_os\build\out\desktop-gui.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"v:\vex_os\build\out\desktop-gui4.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"v:\vex_os\build\out\embedded-boot.log", "Log", 0, 0, 0, 0, 0, 0, 2006, 0, 0, 0, 0, 20, 2026
"v:\vex_os\build\out\embedded-serial.log", "Log", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"v:\vex_os\build\out\gui-fresh.log", "Log", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 6, 67
"v:\vex_os\build\out\headless-desktop-serial.log", "Log", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 7, 69
"v:\vex_os\build\out\headless-fix-serial.log", "Log", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 7, 69
"v:\vex_os\build\out\headless-probe-serial.log", "Log", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 7, 69
"v:\vex_os\build\out\headless-stage-serial.log", "Log", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 7, 69
"v:\vex_os\build\out\headless-user.log", "Log", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 6, 61
"v:\vex_os\build\out\headless.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"v:\vex_os\build\out\isa-debug-402.log", "Log", 0, 0, 0, 0, 0, 0, 1426, 0, 0, 0, 0, 1, 1427
"v:\vex_os\build\out\isa-debug-current.log", "Log", 0, 0, 0, 0, 0, 0, 1426, 0, 0, 0, 0, 1, 1427
"v:\vex_os\build\out\isa-debug-e9.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"v:\vex_os\build\out\isa-debug.log", "Log", 0, 0, 0, 0, 0, 0, 702, 0, 0, 0, 0, 1, 703
"v:\vex_os\build\out\manual-qemu-serial.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"v:\vex_os\build\out\python-boot-monitor.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"v:\vex_os\build\out\python-boot-shot.log", "Log", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 5, 66
"v:\vex_os\build\out\qemu-serial.log", "Log", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 6, 61
"v:\vex_os\build\out\stage-kernel-file.log", "Log", 0, 0, 0, 0, 0, 0, 2005, 0, 0, 0, 0, 20, 2025
"v:\vex_os\build\out\stage-kernel-open.log", "Log", 0, 0, 0, 0, 0, 0, 2005, 0, 0, 0, 0, 20, 2025
"v:\vex_os\build\out\stage-loader-file.log", "Log", 0, 0, 0, 0, 0, 0, 2005, 0, 0, 0, 0, 20, 2025
