Date : 2026-06-23 23:04:50
Directory : v:\vex_os
Total : 274 files,  2845979 codes, 135 comments, 2675 blanks, all 2848789 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C           |         56 |  2,806,139 |         68 |      1,276 |  2,807,483 |
| tools\vex\target\release\.fingerprint\serde_json-14f3bb76a9f80deb                                                                                |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde_json-867207b15e6a21e4                                                                                |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\serde_json-9758ef6abcae0085                                                                                |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\sha2-b3f09e28ae51f65d                                                                                      |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\signature-f8f9c804a518ef78                                                                                 |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\subtle-24653acb739cb3d6                                                                                    |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\syn-a3f1e3f85b6b34be                                                                                       |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\syn-a46212eabf746f6d                                                                                       |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\typenum-09696c8d04682e10                                                                                   |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\unicode-ident-30829473e3ef3dfa                                                                             |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\version_check-fe38d605a08b0f11                                                                             |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\vex-e038bf0b048e55ab                                                                                       |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\zeroize-dc82bf60408dc717                                                                                   |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\zmij-3231fc4877336a2f                                                                                      |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\zmij-363ba53b1dbf3c74                                                                                      |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\.fingerprint\zmij-620c97463fe83c5a                                                                                      |          1 |          1 |          0 |          0 |          1 |
| tools\vex\target\release\build                                                                                                                   |          2 |         11 |          0 |          2 |         13 |
| tools\vex\target\release\build\serde-dc3fb062b2b83cf3                                                                                            |          1 |          6 |          0 |          1 |          7 |
| tools\vex\target\release\build\serde-dc3fb062b2b83cf3\out                                                                                        |          1 |          6 |          0 |          1 |          7 |
| tools\vex\target\release\build\serde_core-5a3ae6acdfbb4b37                                                                                       |          1 |          5 |          0 |          1 |          6 |
| tools\vex\target\release\build\serde_core-5a3ae6acdfbb4b37\out                                                                                   |          1 |          5 |          0 |          1 |          6 |
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                                                                         | language    | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| v:\vex_os\CMakeLists.txt                                                                                                                         | CMake       |      1,165 |          0 |         69 |      1,234 |
| v:\vex_os\apps\compositor\main.c                                                                                                                 | C           |        353 |          0 |         34 |        387 |
| v:\vex_os\apps\compositor\manifest.json                                                                                                          | JSON        |         14 |          0 |          1 |         15 |
| v:\vex_os\apps\diagnostics\main.c                                                                                                                | C           |        203 |          0 |         21 |        224 |
| v:\vex_os\apps\diagnostics\manifest.json                                                                                                         | JSON        |         13 |          0 |          1 |         14 |
| v:\vex_os\apps\gpu\main.c                                                                                                                        | C           |        314 |          0 |         34 |        348 |
| v:\vex_os\apps\gpu\manifest.json                                                                                                                 | JSON        |         14 |          0 |          1 |         15 |
| v:\vex_os\apps\init\desktop_animation.c                                                                                                          | C           |         26 |          0 |          4 |         30 |
| v:\vex_os\apps\init\desktop_animation.h                                                                                                          | C++         |         14 |          0 |          5 |         19 |
| v:\vex_os\apps\init\desktop_app_runtime.c                                                                                                        | C           |        769 |          0 |         88 |        857 |
| v:\vex_os\apps\init\desktop_app_runtime.h                                                                                                        | C++         |         44 |          0 |          5 |         49 |
| v:\vex_os\apps\init\desktop_catalog.c                                                                                                            | C           |         68 |          0 |         21 |         89 |
| v:\vex_os\apps\init\desktop_catalog.h                                                                                                            | C++         |         39 |          0 |          6 |         45 |
| v:\vex_os\apps\init\desktop_domain.c                                                                                                             | C           |        395 |          0 |         28 |        423 |
| v:\vex_os\apps\init\desktop_domain.h                                                                                                             | C++         |         36 |          0 |          5 |         41 |
| v:\vex_os\apps\init\desktop_input.c                                                                                                              | C           |        124 |          0 |          7 |        131 |
| v:\vex_os\apps\init\desktop_input.h                                                                                                              | C++         |         43 |          0 |          6 |         49 |
| v:\vex_os\apps\init\desktop_launcher.c                                                                                                           | C           |         30 |          0 |          4 |         34 |
| v:\vex_os\apps\init\desktop_launcher.h                                                                                                           | C++         |         14 |          0 |          5 |         19 |
| v:\vex_os\apps\init\desktop_layout.c                                                                                                             | C           |         98 |          0 |         12 |        110 |
| v:\vex_os\apps\init\desktop_layout.h                                                                                                             | C++         |         21 |          0 |          5 |         26 |
| v:\vex_os\apps\init\desktop_pointer.c                                                                                                            | C           |        163 |          0 |         16 |        179 |
| v:\vex_os\apps\init\desktop_pointer.h                                                                                                            | C++         |         49 |          0 |          7 |         56 |
| v:\vex_os\apps\init\desktop_ps2.c                                                                                                                | C           |        156 |          0 |         13 |        169 |
| v:\vex_os\apps\init\desktop_ps2.h                                                                                                                | C++         |         20 |          0 |          6 |         26 |
| v:\vex_os\apps\init\desktop_registry.c                                                                                                           | C           |        210 |          0 |         28 |        238 |
| v:\vex_os\apps\init\desktop_registry.h                                                                                                           | C++         |         25 |          0 |          5 |         30 |
| v:\vex_os\apps\init\desktop_rtc.c                                                                                                                | C           |        161 |          0 |         20 |        181 |
| v:\vex_os\apps\init\desktop_rtc.h                                                                                                                | C++         |         16 |          0 |          5 |         21 |
| v:\vex_os\apps\init\desktop_runtime.c                                                                                                            | C           |         99 |          0 |         11 |        110 |
| v:\vex_os\apps\init\desktop_runtime.h                                                                                                            | C++         |         37 |          0 |          7 |         44 |
| v:\vex_os\apps\init\desktop_session.c                                                                                                            | C           |        328 |          0 |         27 |        355 |
